time,mag
2452782.44756944,0.05069312577315621
2452782.44997685,0.05867544515733725
2452782.45236111,0.0026300781932953043
2452782.45475694,-0.008237666516934361
2452782.45715278,0.007966325245988948
2452782.45954861,-0.023738355007189682
2452782.46194444,0.006048187298980601
2452782.4643287,-0.0059877682972730994
2452782.46672454,-0.015165440700634747
2452782.46912037,-0.005390688526013321
2452782.4715162,0.046176410851552774
2452782.47390046,-0.02734467315221556
2452782.4762963,-0.012597492727671522
2452782.47869213,-0.030209031351155158
2452782.48107639,-0.005713622785973982
2452782.48347222,-0.03414328382575604
2452782.48586806,-0.02032226100649437
2452782.48826389,-0.030017227725442908
2452782.49064815,-0.07587487618752675
2452782.49304398,-0.04732852765725415
2452782.50863426,-0.01398388024194519
2452782.51103009,-0.04130116351669466
2452782.51342593,0.007053097978181544
2452782.51582176,-0.029132013832450898
2452782.51821759,-0.02231016578321965
2452782.52060185,-0.024147849127803322
2452782.52299769,-0.0314908607518678
2452782.52539352,-0.015431222503077713
2452782.52778935,-0.018761053380038195
2452782.53055556,-0.032352930575609395
2452782.53293981,-0.06252551471185797
2452782.5353588,-0.05803034479145053
2452782.53774306,-0.05650767528275624
2452782.54013889,-0.04167293202043343
2452782.5425463,-0.07462755218958605
2452782.54494213,-0.07675037045879374
2452782.54732639,-0.028008847232185552
2452782.54972222,-0.05905484499961933
2452782.55211806,-0.10474560804141442
2452782.55450231,-0.08495760421419929
2452782.55689815,-0.12711991122370403
2452782.55929398,-0.11057264422868451
2452782.56168982,-0.07519301606668982
2452782.56408565,-0.09437639297964084
2452782.56646991,-0.09933022182906304
2452782.56886574,-0.09818133865496592
2452782.57126157,-0.08720611242817689
2452782.57365741,-0.09008135300275821
2452782.57604167,-0.11269843508740696
2452782.5784375,-0.0899992501067095
2452782.58083333,-0.11820552743610757
2452782.58322917,-0.09289776404636352
2452782.58561343,-0.09196328837845069
2452782.58800926,-0.08930927069510841
2452782.59049769,-0.1075345092452189
2452782.59289352,-0.08997147387563298
2452782.59530093,-0.1027127504275347
2452782.59769676,-0.1019083157739229
2452782.60009259,-0.09641578745204815
2452782.60248843,-0.09372354104141412
2452782.60488426,-0.08275288761479827
2452782.60726852,-0.07787054608546251
2452782.60966435,-0.09989900632835003
2452782.61206019,-0.11359299256353173
2452782.61445602,-0.10204720315778104
2452782.63425926,-0.09113324869505779
2452782.63665509,-0.04391429233665978
2452782.63905093,-0.07093359295926738
2452782.64143518,0.024819409982959062
2452782.64383102,-0.07738501084105587
2452782.64622685,-0.0658404472237617
2452782.64861111,-0.008106948173008277
2452782.65101852,-0.007689067050901777
2452782.65341435,-0.04654227813920242
2452782.65581019,-0.046695431987588965
2452782.65820602,-0.047753818515614554
2452782.66060185,-0.045435924173254705
2452783.4215162,0.020929814696864835
2452783.42384259,0.04862558972180819
2452783.42618056,0.06116747803317857
2452783.42851852,0.004937674455370633
2452783.43243056,0.017597497251976346
2452783.43478009,0.05370982370605093
2452783.43710648,0.09361027827285184
2452783.43944444,0.07669362449093953
2452783.44178241,0.08497242635470492
2452783.44412037,0.10634164651749778
2452783.44644676,0.08387948350283159
2452783.44878472,0.05759340503839727
